phase,asset,pearson,spearman,n_obs
P1,eth,0.8542734674129759,0.8176884582377042,1080
P1,xrp,0.6817014805819962,0.675114938274886,1080
P1,sol,0.636829780974098,0.6489490776194218,565
P1,mstr,0.2522250684686185,0.21015398659204348,2082
P1,wgmi,0.6006156304494523,0.6079462049515175,540
P1,spx,0.11768747719957517,0.08059617854288031,2082
P1,ndx,0.11468103001550989,0.08480845811248705,2082
P1,dxy,-0.009384184686893627,-0.016641261694655626,2082
P1,tlt,0.021574043214206938,-0.009662408030886412,2082
P2,eth,0.7799739664228038,0.7672490875025864,540
P2,xrp,0.3250848019464633,0.5918288090456034,540
P2,sol,0.4764962766729491,0.4739693894697855,540
P2,mstr,0.2699107574903633,0.34633124197220533,1080
P2,wgmi,0.6184738030521212,0.5685066526643533,270
P2,spx,0.08627369849217813,0.0918986547020627,1080
P2,ndx,0.02082003785688574,0.014728991716015265,1080
P2,dxy,0.020881606631305852,-0.022932100384511735,1080
P2,tlt,0.016420033126698364,-0.01805541223875047,1080
P3,eth,0.631664051272852,0.7077938932105718,586
P3,xrp,0.3926473950510787,0.5870972974286518,586
P3,sol,0.3812992624596245,0.4641368607040643,540
P3,mstr,0.2978556088079755,0.3433984573708454,1080
P3,wgmi,0.4876299209499692,0.4485444814470866,270
P3,spx,0.16122848158530464,0.21630797884588307,1080
P3,ndx,0.15725379137048623,0.20715919972610775,1080
P3,dxy,0.040122690458338196,0.05641490837669036,1080
P3,tlt,-0.027897551392282317,-0.06462969321053894,1080
P4,eth,0.8380075222458829,0.8115703485072686,2664
P4,xrp,0.663767779304786,0.6986356945919511,2664
P4,sol,0.6988352221616083,0.6935789406252618,1827
P4,mstr,0.4402475838482492,0.38755861700791544,3443
P4,wgmi,0.6059838866009147,0.5657370830138855,1698
P4,spx,0.24484314285353595,0.19832490787007356,3443
P4,ndx,0.25918788694974904,0.2094097079323635,3443
P4,dxy,-0.09691215861438904,-0.13205982794728832,3443
P4,tlt,0.036729932017486935,-0.010310422558396164,3443
