macro_asset,regime,phase,asset,pearson,n_obs,full_pearson,sign_flip
dxy,high,P1,eth,0.88622952674035,310,0.8542734674129759,False
dxy,high,P1,xrp,0.8331035878409702,310,0.6817014805819962,False
dxy,high,P1,sol,0.7815486802451418,94,0.636829780974098,False
dxy,high,P1,mstr,0.15587207366276684,701,0.2522250684686185,False
dxy,high,P1,wgmi,0.6888163280814807,87,0.6006156304494523,False
dxy,high,P1,spx,0.21923523515635585,701,0.1176874771995751,False
dxy,high,P1,ndx,0.20981977500455756,701,0.1146810300155098,False
dxy,high,P1,tlt,-0.043978767294938416,701,0.0215740432142069,True
dxy,high,P2,eth,0.7093942376032236,100,0.7799739664228038,False
dxy,high,P2,xrp,0.6654220707168571,100,0.3250848019464633,False
dxy,high,P2,sol,0.7120217731009989,100,0.4764962766729491,False
dxy,high,P2,mstr,0.09562761995076538,317,0.2699107574903633,False
dxy,high,P2,wgmi,0.4820190010008077,99,0.6184738030521212,False
dxy,high,P2,spx,-0.08857894889251562,317,0.0862736984921781,True
dxy,high,P2,ndx,-0.1503927157290324,317,0.0208200378568857,True
dxy,high,P2,tlt,0.1878777291359223,317,0.0164200331266983,False
dxy,high,P3,eth,0.8239646559460821,140,0.631664051272852,False
dxy,high,P3,xrp,0.6989129793476065,140,0.3926473950510787,False
dxy,high,P3,sol,0.49596210226894655,140,0.3812992624596245,False
dxy,high,P3,mstr,0.6322254601172557,140,0.2978556088079755,False
dxy,high,P3,wgmi,0.6071959856300178,33,0.4876299209499692,False
dxy,high,P3,spx,0.4264685356647548,140,0.1612284815853046,False
dxy,high,P3,ndx,0.33175127476423544,140,0.1572537913704862,False
dxy,high,P3,tlt,-0.3210511554039983,140,-0.0278975513922823,False
dxy,high,P4,eth,0.8755385337202682,837,0.8391162145097586,False
dxy,high,P4,xrp,0.7492491582018551,837,0.6669678739068831,False
dxy,high,P4,sol,0.7404889187925093,479,0.7011213150732405,False
dxy,high,P4,mstr,0.42414605948302037,1196,0.4440986903029342,False
dxy,high,P4,wgmi,0.6800225945592544,394,0.5967685235128953,False
